Пульс;Метка времени;Дата;Время
67;1604238720000;1 нояб. 2020 г.;14:52:00
78;1604238780000;1 нояб. 2020 г.;14:53:00
86;1604238840000;1 нояб. 2020 г.;14:54:00
97;1604238900000;1 нояб. 2020 г.;14:55:00
97;1604238960000;1 нояб. 2020 г.;14:56:00
101;1604239020000;1 нояб. 2020 г.;14:57:00
103;1604239080000;1 нояб. 2020 г.;14:58:00
100;1604239140000;1 нояб. 2020 г.;14:59:00
97;1604239200000;1 нояб. 2020 г.;15:00:00
101;1604239260000;1 нояб. 2020 г.;15:01:00
98;1604239320000;1 нояб. 2020 г.;15:02:00
94;1604239380000;1 нояб. 2020 г.;15:03:00
93;1604239440000;1 нояб. 2020 г.;15:04:00
95;1604239500000;1 нояб. 2020 г.;15:05:00
83;1604239560000;1 нояб. 2020 г.;15:06:00
74;1604239620000;1 нояб. 2020 г.;15:07:00
79;1604239680000;1 нояб. 2020 г.;15:08:00
92;1604239740000;1 нояб. 2020 г.;15:09:00
101;1604239800000;1 нояб. 2020 г.;15:10:00
102;1604239860000;1 нояб. 2020 г.;15:11:00
102;1604239920000;1 нояб. 2020 г.;15:12:00
62;1604239980000;1 нояб. 2020 г.;15:13:00